description,mad_name,z_start(m),length(in),beamline,shape,round_diameter(in),elliptical_diameter_x(in),elliptical_diameter_y(in)
Drift Tube(2 in a row),,3465.046,120.0,LTUH,round,1.370,,
Drift Tube,,3468.094,24,LTUH,round,1.370,,
Magnet Quad with BPM ASSY,"QE33*,BPME33*",3468.704,10.0,LTUH,round,0.870,,
Drift Tube,,3468.958,51.7,LTUH,round,1.370,,
Bellows,,3470.271,3.5,LTUH,round,1.259,,
Zero Length Reducer,,3470.360,0.679,LTUH,round,1.500,,
Mirror Actuator Assy,,3470.377,8.25,LTUH,round,2.259,,
Zero Length Reducer,,3470.587,0.679,LTUH,round,1.500,,
Bellows,,3470.604,3.5,LTUH,round,1.259,,
Drift Tube,,3470.693,51.7,LTUH,round,1.370,,
Drift Tube,,3472.006,60.0,LTUH,round,1.370,,
Drift Tube,,3473.530,12.00,LTUH,round,1.370,,
Actuator,,3473.835,2.75,LTUH,round,1.500,,
Bellows,,3473.905,5.20,LTUH,round,1.500,,
Drift Tube,,3474.037,60.0,LTUH,round,1.370,,
Drift Tube,,3475.561,47.33,LTUH,round,1.370,,
Screen Assy PSI Monitor,YAGPSI*,3476.763,5.394,LTUH,round,0.6299,,
Flex Coupling,,3476.900,8.2,LTUH,round,1.500,,
Drift Tube,,3477.108,18,LTUH,round,1.370,,
OTR,OTR33*,3477.565,5.4,LTUH,round,0.830,,
Drift Tube(3 in a row),,3477.702,180.0,LTUH,round,1.370,,
4 Way Cross,,3482.274,4.92,LTUH,round,1.370,,
Bellows,,3482.399,6,LTUH,round,1.500,,
Drift Tube(2 in a row),,3482.551,120.0,LTUH,round,1.370,,
Drift Tube,YCE34*,3485.599,30,LTUH,round,1.370,,
Magnet Quad with BPM ASSY,"QE34*,BPME34*",3486.361,10.0,LTUH,round,0.870,,
Drift Tube,,3486.615,60.0,LTUH,round,1.370,,
4 Way Cross,,3488.139,4.92,LTUH,round,1.370,,
Drift Tube,,3488.264,60.0,LTUH,round,1.370,,
